Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a26,inc,Vm,AB,BMag,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,tahts actually cxrax,mass in kg,volume
NGC5237,13,37,38.9,-,42,50,51,2.1,37,56,0.03,-14.8,23.1,8.43,8.88,7.48,7.48,122,1.2,NGC5128,1.3,1.88,3.2403E+19,1.50889E+39,1.4251E+59
UGC08638,13,39,19.4,+,24,46,33,2.06,55,11,0,-13.8,24.1,7.97,7.5,7.08,7.08,275,-0.2,NGC4826,-0.1,1.24,3.17858E+19,6.29009E+37,1.3452E+59
UGC08647,13,39,48,+,31,17,25,2.91,77,20,0,-13.5,25.2,7.74,8.11,7.89,7.89,776,-0.8,NGC5055,-0.5,,4.49013E+19,2.56246E+38,3.79197E+59
DDO181,13,39,53.8,+,40,44,21,2.13,65,16,0,-13.3,24.7,7.56,7.82,7.36,7.36,284,-0.9,NGC4736,-0.5,-0.08,3.28659E+19,1.31419E+38,1.48705E+59
NGC5253,13,39,55.8,-,31,38,24,7.01,69,31,0,-17.1,23.5,9.08,8.89,7.91,7.91,193,0.3,NGC5128,0.5,1.69,1.08164E+20,1.54403E+39,5.30079E+60
IC4316,13,40,18.1,-,28,53,40,2.67,59,3,0,-14.4,24.1,8.21,6.42,7.04,7.04,369,0.6,NGC5236,0.7,1.65,4.11981E+19,5.23187E+36,2.92901E+59
NGC5264,13,41,37,-,29,54,50,4.96,54,15,0,-16,23.8,8.88,8.12,7.7,7.7,269,2.5,NGC5236,2.5,1.64,7.65328E+19,2.62214E+38,1.87772E+60
DDO182,13,42,32.6,+,39,39,30,3.4,48,19,0,-14.1,24.9,7.89,8.16,8.03,8.03,730,0.2,NGC5055,0.3,1.75,5.2462E+19,2.87512E+38,6.04816E+59
dw1343+58,13,43,7,+,58,13,40,1.54,45,19,0,-13,24.2,7.46,7.82,6.66,6.66,338,,,,,2.37622E+19,1.31419E+38,5.62016E+58
ESO325-011,13,45,0.8,-,41,51,32,3.3,75,26,0,-14,24.9,7.86,8.4,7.87,7.87,311,1.2,NGC5128,1.3,1.88,5.0919E+19,4.99639E+38,5.53004E+59
