Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,a26,inc,Vm,AB,BMag,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,tahts actually cxrax,mass in kg,volume
KK27,3,21,3,-,66,19,11,1.48,90,3,0,-12,25.2,7.04,6.03,5.92,5.92,327,1.9,NGC1313,1.9,0.32,2.28364E+19,2.13136E+36,4.98852E+58
UGC02716,3,24,7.2,+,17,45,15,3.41,57,21,0,-15.1,23.9,8.38,8.23,7.71,7.71,467,,,,,5.26163E+19,3.37798E+38,6.10168E+59
UGC02773,3,32,7.1,+,47,47,37,4.4,47,48,0.03,-16.8,22.7,9.24,9.08,8.51,8.51,395,-0.9,Maffei2,-0.6,,6.7892E+19,2.39142E+39,1.31082E+60
IC1959,3,33,11.8,-,50,24,38,7,79,57,0.26,-16.1,24.5,8.49,9.42,8.38,8.38,465,-1.5,NGC1291,-1.1,-0.19,1.0801E+20,5.23187E+39,5.27814E+60
Reticulum 2,3,35,42.1,-,54,2,57,0.06,90,3,0,-2.1,28.2,3.78,4.66,< 2.16,2.16,-121,4.1,Milky Way,4.2,1.75,9.258E+17,9.09194E+34,3.32384E+54
Eridanus 2,3,44,21.1,-,43,31,59,0.32,71,3,0,-5.8,28,5.29,5.42,< 3.40,3.4,-87,0.9,Milky Way,1,1.75,4.9376E+18,5.23187E+35,5.04239E+56
IC0342,3,46,48.9,+,68,5,45,34.25,25,189,0.07,-20.7,23.3,10.6,11.15,10.16,10.16,244,-0.1,NGC1569,0.3,0.52,5.28478E+20,2.80968E+41,6.18256E+62
UGC02905,3,57,0.6,+,16,31,28,2.23,62,18,0,-14.4,23.6,8.02,7.93,7.56,7.56,344,-1.7,Maffei2,-1.4,,3.44089E+19,1.693E+38,1.70648E+59
IC2038,4,8,54.1,-,55,59,32,11.14,79,41,0.03,-16.5,25,9.08,9.33,9.2,9.2,505,1.9,NGC1533,1.9,1.66,1.7189E+20,4.25262E+39,2.12736E+61
NGC1533,4,9,51.8,-,56,7,6,20.13,38,183,0.15,-19.9,23,10.85,10.89,9.76,9.76,577,0.1,IC2038,0.2,0.84,3.10606E+20,1.54403E+41,1.25521E+62
ESO483-013,4,12,41.1,-,23,9,32,3.49,68,34,0,-15.5,23.5,8.72,8.68,7.63,7.63,780,-1.6,NGC1291,-1.4,,5.38507E+19,9.52043E+38,6.54128E+59
CamA,4,25,15.6,+,72,48,21,4.61,65,16,0,-13.9,25.8,7.79,8.14,8.14,8.14,156,0.7,IC0342,0.7,1.41,7.11323E+19,2.74572E+38,1.50761E+60
NGC1592,4,29,40.8,-,27,24,31,3.75,75,33,0,-15.6,23.6,8.17,8.68,7.99,7.99,798,-1.5,NGC1291,-1,,5.78625E+19,9.52043E+38,8.11484E+59
NGC1569,4,30,49.1,+,64,50,53,6.02,60,51,0.08,-18.2,22,9.4,9.25,8.3,8.3,106,1.1,IC0342,1.2,1.39,9.28886E+19,3.53718E+39,3.35719E+60
UGCA092,4,32,0.3,+,63,36,50,3.81,72,25,0,-15.7,23.5,8.04,8.44,8.23,8.23,93,1.8,NGC1569,1.9,1.41,5.87883E+19,5.47844E+38,8.51062E+59
NGC1560,4,32,49.9,+,71,52,52,9.4,90,52,0.26,-16.3,24.8,8.6,9.47,8.91,8.91,170,0.8,IC0342,0.9,1.47,1.45042E+20,5.87025E+39,1.27812E+61
NGC1637,4,41,28.2,-,2,51,29,12.12,39,133,0.14,-18.7,23.1,10.07,10.4,9.01,9.01,646,-2.3,UGC03174,-1.8,,1.87012E+20,4.99639E+40,2.73964E+61
CamB,4,53,6.9,+,67,5,57,1.79,72,3,0,-12,25.6,7.09,6.16,7.12,7.12,267,0.7,IC0342,0.8,1.48,2.76197E+19,2.87512E+36,8.82563E+58
NGC1705,4,54,13.7,-,53,21,41,3.71,48,65,0.07,-16.1,23,8.62,9.26,8.06,8.06,401,-1.9,NGC1291,-1.4,,5.72453E+19,3.61957E+39,7.85793E+59
HIPASS J0457-42,4,56,58.7,-,42,48,14,2.78,90,25,0,-14.8,23.7,8.18,8.29,8.1,8.1,448,-1.6,NGC1291,-1.3,,4.28954E+19,3.87844E+38,3.30614E+59
NGC1744,4,59,58.2,-,26,1,36,20.41,58,101,0.28,-18.8,24.1,9.42,10.38,9.35,9.35,574,0.1,ESO486-021,0.1,-0.49,3.14926E+20,4.77152E+40,1.30832E+62
ESO486-021,5,3,19.7,-,25,25,23,4.49,46,39,0,-15.8,23.8,8.74,8.9,8.47,8.47,664,0.8,NGC1744,0.8,0.17,6.92807E+19,1.58E+39,1.39292E+60
NGC1800,5,6,25.7,-,31,57,15,4.59,67,31,0,-16.5,23.2,9.04,8.7,8.13,8.13,625,-1.7,NGC1808,-1.1,-1.46,7.08237E+19,9.96912E+38,1.48807E+60
UGCA105,5,14,15.1,+,62,34,51,7.13,51,68,0.12,-17,23.6,9.14,9.58,8.65,8.65,281,0.3,IC0342,0.4,1.47,1.10016E+20,7.56235E+39,5.5777E+60
HIPASS J0517-32,5,17,21.6,-,32,45,35,1.83,63,32,0,-14.2,23.4,7.93,8.33,7.89,7.89,599,,,,,2.82369E+19,4.25262E+38,9.43061E+58
LMC,5,23,34.6,-,69,45,22,10.06,35,48,0.02,-17.9,23.4,9.42,9.44,8.66,8.66,28,3.5,Milky Way,3.6,1.74,1.55226E+20,5.47844E+39,1.56668E+61
UGC03303,5,24,59.5,+,4,30,18,13.06,39,109,0.12,-16,25.9,8.75,10.26,8.52,8.52,444,-1.8,Orion,-1.5,-0.53,2.01516E+20,3.61957E+40,3.4278E+61
ESO553-046,5,27,5.7,-,20,40,41,2.25,51,35,0,-14.7,23.4,8.17,8.49,7.46,7.46,370,-2.1,NGC1291,-1.6,,3.47175E+19,6.14691E+38,1.75281E+59
KK49,5,41,41.5,+,6,40,54,5.64,51,30,0,-16.4,23.7,9.24,8.77,8.31,8.31,376,-2.4,NGC1637,-1.8,-0.7,8.70252E+19,1.17127E+39,2.76073E+60
Orion,5,45,2,+,5,4,6,11.75,62,58,0.14,-17.1,24.6,8.73,9.66,8.98,8.98,280,-1.8,UGC03303,-1.5,-0.46,1.81303E+20,9.09194E+39,2.49632E+61
GALFA Dw4,5,45,44.8,+,10,46,16,1.78,68,17,0,-13.8,23.8,7.76,7.78,6.81,6.81,550,-2,Orion,-1.5,-0.53,2.74654E+19,1.19855E+38,8.67853E+58
A0554+07,5,57,36.7,+,7,29,31,3.45,90,21,0,-14.1,24.9,7.89,8.24,7.8,7.8,340,-1.3,KK49,-1.2,0.05,5.32335E+19,3.45666E+38,6.31893E+59
KKH34,5,59,41.2,+,73,25,39,2.44,66,3,0,-13.3,25,7.57,6.33,7.15,7.15,295,-1.2,Maffei2,-0.8,,3.76492E+19,4.25262E+36,2.2354E+59
ESO364-029,6,5,45.4,-,33,4,54,9.59,51,43,0.01,-16.3,24.9,9.12,9.31,8.53,8.53,554,-0.7,NGC2090,-0.5,0.9,1.47974E+20,4.06122E+39,1.35719E+61
HIPASS J0607-34,6,7,19.7,-,34,12,16,2.92,55,68,0.1,-16.1,22.6,8.69,9.19,8.32,8.32,529,-0.5,NGC2090,-0.3,0.85,4.50556E+19,3.08075E+39,3.8312E+59
NGC2188,6,10,9.5,-,34,6,22,11.14,78,50,0.16,-17.8,23.8,9.37,9.51,8.72,8.72,508,-1.3,ESO364-029,-0.9,-0.13,1.7189E+20,6.4366E+39,2.12736E+61
ESO121-020,6,15,54.5,-,57,43,35,1.69,51,25,0,-13.8,23.6,7.78,8.08,7.94,7.94,319,-0.6,LV J0616-5745,-0.6,-2.18,2.60767E+19,2.39142E+38,7.42757E+58
LV J0616-5745,6,16,9.2,-,57,45,55,0.71,41,20,0,-12.1,23.5,7.07,7.5,7.36,7.36,286,0.1,ESO121-020,0.1,-1.09,1.09553E+19,6.29009E+37,5.50759E+57
UGCA127,6,20,55.7,-,8,29,44,27,77,141,0.78,-20,23.5,10,10.8,9.34,9.34,562,2.7,UGCA127sat,2.7,0.45,4.1661E+20,1.25504E+41,3.02885E+62
WHI B0619-07,6,22,13.8,-,7,50,16,7.17,59,79,0.22,-17.8,22.8,9.45,9.72,8.94,8.94,591,1.5,UGCA127,1.6,0.83,1.10633E+20,1.04389E+40,5.6721E+60
ESO489-056,6,26,17,-,26,15,56,1.37,72,3,0,-13.6,23.4,7.68,6.04,7.36,7.36,263,-1.2,ESO490-017,-1.1,-1.13,2.11391E+19,2.181E+36,3.95684E+58
UGC03475,6,30,28.8,+,39,30,14,14.07,57,89,0.22,-17.3,24.8,8.94,10.11,9.25,9.25,525,-2.9,IC0356,-2.4,,2.171E+20,2.56246E+40,4.28616E+61
UGC03476,6,30,29.2,+,33,18,7,6.35,90,36,0,-15.5,24.8,8.46,8.98,8.65,8.65,477,-2.5,NGC2683,-2,,9.79805E+19,1.89958E+39,3.9401E+60
ESO490-017,6,37,56.6,-,25,59,59,3.33,46,21,0,-15.3,23.6,8.13,8.22,7.9,7.9,269,-1.7,ESO489-056,-1.4,-1.57,5.13819E+19,3.30108E+38,5.68223E+59
CGMW1-260,6,38,0.1,-,15,1,22,13.13,65,95,0.35,-18.3,23.7,9.44,10.14,8.71,8.71,542,-1.2,NGC2283,-1,,2.02596E+20,2.74572E+40,3.48322E+61
UGC03501,6,38,38.4,+,49,15,30,5.42,90,26,0,-14.8,25.2,8.15,8.62,8.31,8.31,530,-2,NGC2344,-1.6,,8.36306E+19,8.29195E+38,2.4501E+60
KK55,6,39,32.9,-,40,43,13,2.04,58,24,0,-14.1,23.7,7.91,8.15,8.04,8.04,559,-1.8,NGC2090,-1.2,-0.53,3.14772E+19,2.80968E+38,1.3064E+59
Carina,6,41,36.7,-,50,57,58,0.76,62,3,0,-9,26.8,6.54,5.85,< 3.64,3.64,-52,2.6,Milky Way,2.8,1.75,1.17268E+19,1.40817E+36,6.75503E+57
IC2171,6,44,27.3,-,17,55,57,7.59,81,47,0.14,-16.7,24,9.05,9.29,8.38,8.38,572,1.6,NGC2283,1.6,0.62,1.17114E+20,3.87844E+39,6.7284E+60
NGC2283,6,45,52.7,-,18,12,37,14.96,41,119,0.15,-18.9,23.3,9.84,10.39,9.44,9.44,622,1.3,KKSG9,1.4,-0.04,2.30833E+20,4.88266E+40,5.15206E+61
KKSG9,6,46,56.9,-,17,56,29,2.17,52,102,0.16,-15.7,22.3,8.72,9.42,8.64,8.64,474,2.4,NGC2283,2.5,0.65,3.34831E+19,5.23187E+39,1.57241E+59
KKH37,6,47,45.8,+,80,7,26,1.21,55,3,0,-11.6,25.1,6.9,6.12,6.71,6.71,214,0,MESSIER081,0.3,1.7,1.86703E+19,2.62214E+36,2.7261E+58
KKH38,6,47,54.9,+,47,30,50,4.36,68,27,0,-13,26.5,7.47,8.55,8.19,8.19,518,-2,NGC2841,-1.5,,6.72748E+19,7.05759E+38,1.2754E+60
UGC03600,6,55,40,+,39,5,42,5.9,70,38,0,-14.3,25.9,8.05,8.99,8.07,8.07,421,-2,NGC2683,-1.6,,9.1037E+19,1.94382E+39,3.1604E+60
HIZSS003B,7,0,24.7,-,4,13,18,1.73,47,10,0,-14.8,22.7,8.16,7.27,7.6,7.6,143,5.3,HIZSS003,5.3,-0.69,2.66939E+19,3.70388E+37,7.96755E+58
HIZSS003,7,0,29.3,-,4,12,30,3.63,62,26,0,-15.8,23.3,8.56,8.47,8.34,8.34,108,4.9,HIZSS003B,4.9,-1.09,5.60109E+19,5.87025E+38,7.36048E+59
FG202,7,5,17.1,-,58,31,14,3.25,76,29,0,-14.2,24.7,7.92,8.51,8.34,8.34,279,-2,NGC5128,-1.4,-2.18,5.01475E+19,6.4366E+38,5.28246E+59
ESO558-011,7,6,56.8,-,22,2,26,5.28,57,65,0.14,-16.6,23.3,9,9.41,7.93,7.93,489,-2.3,NGC2784,-1.6,,8.14704E+19,5.11277E+39,2.2651E+60
UGC03698,7,9,18.8,+,44,22,48,4.13,62,16,0,-15.3,24.1,8.36,8.1,8.25,8.25,464,-0.9,NGC2337,-0.8,0.09,6.37259E+19,2.50413E+38,1.08402E+60
NGC2337,7,10,13.6,+,44,27,25,10.2,47,88,0.11,-17.4,24,9.34,9.96,8.96,8.96,476,-0.6,NGC2337dwTBG1,-0.6,-0.87,1.57386E+20,1.81408E+40,1.633E+61
UGC03755,7,13,51.8,+,10,31,19,4.43,63,13,0,-15.7,23.8,8.43,7.97,8.28,8.28,186,-2.3,NGC2903,-1.7,-2.32,6.83549E+19,1.85634E+38,1.33782E+60
UGC03817,7,22,44.5,+,45,6,30,4.62,72,13,0,-14.1,25.5,8.43,7.97,8.17,8.17,478,-1.7,NGC2841,-1.2,,7.12866E+19,1.85634E+38,1.51744E+60
HIZSS008,7,25,22,-,24,28,31,16.84,66,65,0.2,-19.8,22.7,10.27,9.91,9.12,9.12,542,-0.1,HIZSS012,-0.1,0.85,2.59841E+20,1.6168E+40,7.34874E+61
DDO043,7,28,17.2,+,40,46,13,4.47,53,17,0,-15.2,24.3,8.13,8.16,8.38,8.38,370,-1.5,DDO046,-1.1,-0.78,6.89721E+19,2.87512E+38,1.37439E+60
NGC2366,7,28,54.6,+,69,12,19,6.87,90,43,0.05,-16.1,24.4,8.7,9.17,8.63,8.63,251,0.8,NGC2403,1,1.91,1.06004E+20,2.94209E+39,4.9895E+60
HIZSS012,7,30,8.3,-,22,1,1,45.83,61,139,0.42,-18.5,26.1,10.1,11.01,9.45,9.45,525,0.1,HIZSS008,0.1,1.07,7.07157E+20,2.03543E+41,1.48128E+63
ESO059-001,7,31,19.3,-,68,11,10,3.28,40,57,0.04,-15,23.9,8.17,9.1,8,8,247,-1.7,CIRCINUS,-1.1,-0.51,5.06104E+19,2.50413E+39,5.4301E+59
AGC174585,7,36,10.3,+,9,59,11,0.91,60,3,0,-11.7,24.4,6.94,5.95,6.89,6.89,217,-2.1,NGC2903,-1.5,-0.49,1.40413E+19,1.77279E+36,1.15961E+58
HIZSS014,7,36,22.6,-,19,29,40,4.75,62,27,0,-17.7,22,9.35,8.6,8.36,8.36,537,-0.4,HIZSS012,-0.3,0.85,7.32925E+19,7.91875E+38,1.64918E+60
Carina II,7,36,25.6,-,56,0,3,0.22,59,3,0,-4.3,28.7,4.69,5.34,,,183,3.8,Milky Way,4,1.75,3.3946E+18,4.35168E+35,1.63853E+56
NGC2403,7,36,51.4,+,65,35,58,26.58,57,128,0.33,-19.2,24.2,9.86,10.71,9.26,9.26,262,0.2,DDO044,0.6,1.88,4.10129E+20,1.02013E+41,2.88969E+62
LV J0737+4724,7,37,28.5,+,47,24,33,2.03,90,15,0,-13.4,24.5,7.61,7.71,7.76,7.76,451,-1.9,NGC2344,-1.5,,3.13229E+19,1.02013E+38,1.28728E+59
Carina III,7,38,31.2,-,56,6,1,0.07,90,3,0,-2.2,28.3,3.84,4.71,,,-10,4.2,Milky Way,4.2,1.75,1.0801E+18,1.02013E+35,5.27814E+54
DDO046,7,41,25.8,+,40,6,45,5.61,22,86,0.02,-15.9,24.1,8.47,9.68,8.58,8.58,373,-1.5,NGC2683,-1.1,-0.18,8.65623E+19,9.52043E+39,2.71691E+60
DDO047,7,41,55,+,16,48,2,11.38,32,44,0.01,-16.1,25.5,8.74,9.4,8.82,8.82,160,-0.7,KK65,-0.6,-0.76,1.75593E+20,4.99639E+39,2.26784E+61
KK65,7,42,31.2,+,16,33,40,2.62,66,12,0,-14.3,24.1,8.11,7.66,7.7,7.7,170,-0.1,DDO047,0,-0.38,4.04266E+19,9.09194E+37,2.76752E+59
HIZSS021,7,46,16.5,-,28,28,11,3.4,57,44,0.03,-15.7,23.3,8.53,8.89,8.23,8.23,219,-2.2,NGC2784,-1.7,,5.2462E+19,1.54403E+39,6.04816E+59
KKH40,7,46,56.4,+,51,17,46,1.86,50,8,0,-13.5,24.2,7.65,7.12,7.72,7.72,510,-1.3,NGC2841,-0.9,-1.07,2.86998E+19,2.62214E+37,9.90205E+58
CGCG 262-028,7,47,32.1,+,51,11,29,2.96,70,35,0,-15.5,23.2,8.18,8.62,8.13,8.13,497,-1.3,NGC2841,-0.9,-1.6,4.56728E+19,8.29195E+38,3.99081E+59
AGC174605,7,50,21.7,+,7,47,40,0.96,22,7,0,-12,24.2,7.06,6.7,7.16,7.16,196,-2.1,NGC2903,-1.6,,1.48128E+19,9.96912E+36,1.36144E+58
UGC04115,7,57,1.8,+,14,23,27,4.37,66,37,0,-14.4,25.2,8.26,8.85,8.35,8.35,215,-1.7,DDO047,-1.2,-0.42,6.74291E+19,1.40817E+39,1.28419E+60
HIZOA J0800-36,8,0,22.7,-,36,39,34,1.85,47,11,0,-12.8,24.9,7.35,7.4,7.32,7.32,555,-2,NGC2784,-1.5,-1.21,2.85455E+19,4.99639E+37,9.7432E+58
HIPASS J0801-21,8,1,25.4,-,21,59,51,1.74,67,26,0,-13.9,23.7,7.79,8.14,7.97,7.97,463,-0.9,ESO494-025,-0.5,,2.68482E+19,2.74572E+38,8.10651E+58
NGC2500,8,1,53.2,+,50,44,14,12.31,33,81,0.06,-18.5,23.3,9.8,9.97,8.95,8.95,572,-0.8,NGC2541,-0.4,0.55,1.89943E+20,1.85634E+40,2.87052E+61
HIZSS033,8,7,3.6,-,37,44,22,2.74,41,40,0,-14.5,24,8.05,8.7,8.19,8.19,558,-1.8,ESO314-002,-1.3,-1.9,4.22782E+19,9.96912E+38,3.16547E+59
LV J0812+4836,8,12,39.5,+,48,36,45,1.88,90,19,0,-13.6,24.1,7.69,7.9,7.66,7.66,566,1.3,NGC2541,1.3,1.07,2.90084E+19,1.58E+38,1.02249E+59
NGC2537,8,13,14.7,+,45,59,26,9.54,29,91,0.05,-18.4,22.8,9.84,9.96,8.74,8.74,479,1.9,IC2233,1.9,0.65,1.47202E+20,1.81408E+40,1.33608E+61
IC2233,8,13,58.9,+,45,44,32,16.69,90,78,0.73,-18.3,24.1,9.22,10.07,9.12,9.12,586,2.6,NGC2537,2.6,0.87,2.57527E+20,2.33699E+40,7.15411E+61
NGC2541,8,14,40.1,+,49,3,42,26.11,59,99,0.28,-18.7,24.7,9.48,10.47,9.52,9.52,605,0.3,NGC2552,0.5,1,4.02877E+20,5.87025E+40,2.73909E+62
HolmII,8,19,4,+,70,42,51,9.21,34,49,0.02,-16.8,24.4,9.2,9.41,8.63,8.63,311,0.7,MESSIER081,1,1.91,1.4211E+20,5.11277E+39,1.20217E+61
NGC2552,8,19,20.5,+,50,0,35,13.83,43,83,0.11,-18.1,23.9,9.51,10.05,8.88,8.88,574,0.3,NGC2541,0.3,1,2.13397E+20,2.23181E+40,4.07055E+61
ESO495-008,8,21,0.7,-,23,46,53,3.68,90,43,0.06,-15.7,23.5,8.52,8.9,8.26,8.26,512,0,NGC2559,0.1,-0.08,5.67824E+19,1.58E+39,7.66884E+59
AGC188955,8,21,37,+,4,19,1,1.09,67,15,0,-13.4,23.1,7.61,7.48,7.48,7.48,576,-1.7,NGC2775,-1.6,,1.68187E+19,6.00699E+37,1.99281E+58
KDG052,8,23,56,+,71,1,46,0.49,26,6,0,-11.4,23.3,6.93,6.28,7.02,7.02,271,2,HolmII,2,1.91,7.5607E+18,3.79015E+36,1.8104E+57
KUG 0821+321,8,25,5,+,32,1,5,2.09,59,24,0,-14,24,7.83,8.15,7.7,7.7,604,-1.9,NGC2683,-1.6,-1.67,3.22487E+19,2.80968E+38,1.40483E+59
CGMW2-3473,8,25,12.9,-,28,8,25,2.04,64,30,0,-15.2,22.7,8.31,8.32,7.78,7.78,549,-1.3,ESO495-021,-1,0.31,3.14772E+19,4.15582E+38,1.3064E+59
DDO052,8,28,28.5,+,41,51,24,5.02,72,38,0,-14.9,25,8.36,8.92,8.28,8.28,401,-0.8,NGC2683,-0.6,-0.21,7.74586E+19,1.65446E+39,1.94669E+60
LV J0831+4104,8,31,41.2,+,41,4,54,0.68,38,5,0,-11.9,23.6,7.02,6.37,6.4,6.4,640,-1.3,NGC2683,-0.9,-2.33,1.04924E+19,4.66291E+36,4.83853E+57
DDO053,8,34,6.5,+,66,10,45,2.2,33,16,0,-13.4,24.6,7.34,7.79,7.64,7.64,150,0.8,MESSIER081,1,1.91,3.3946E+19,1.22647E+38,1.63853E+59
ESO495-021,8,36,15.2,-,26,24,34,5.5,45,72,0.08,-17.7,22.3,9.56,9.52,8.28,8.28,581,-1.1,NGC2784,-0.8,-0.57,8.4865E+19,6.58653E+39,2.5602E+60
UGC04483,8,37,3,+,69,46,31,1.39,64,12,0,-13,24.1,7.09,7.39,7.61,7.61,304,1,MESSIER081,1.3,1.91,2.14477E+19,4.88266E+37,4.13267E+58
AGC181604,8,39,48.7,+,31,40,52,2.92,90,5,0,-13.3,25.3,7.58,6.9,8.01,8.01,559,-1.6,NGC2683,-1.4,-1.42,4.50556E+19,1.58E+37,3.8312E+59
LV J0843+4025,8,43,38,+,40,25,47,0.75,64,3,0,-11.7,24,6.92,5.83,6.43,6.43,621,-1.2,NGC2683,-0.8,-2.24,1.15725E+19,1.3448E+36,6.49188E+57
ESO496-010,8,49,6,-,26,19,12,2.82,56,31,0,-15.3,23.3,8.43,8.51,7.76,7.76,524,-0.6,ESO495-021,-0.3,0.31,4.35126E+19,6.4366E+38,3.45091E+59
AGC182595,8,51,12.1,+,27,52,48,0.91,64,3,0,-12.6,23.5,7.3,5.92,6.95,6.95,323,-0.8,NGC2683,-0.5,-1.75,1.40413E+19,1.65446E+36,1.15961E+58
UMa II,8,51,30,+,63,7,48,0.25,80,3,0,-3.1,30.2,4.18,5.27,< 1.91,1.91,-3,3.9,Milky Way,3.9,1.75,3.8575E+18,3.70388E+35,2.4044E+56
NGC2683,8,52,40.9,+,33,25,2,37.51,90,202,1.12,-20.9,23.3,10.81,11.25,9.14,9.14,365,-0.3,N2683dw2,-0.2,-0.82,5.78779E+20,3.53718E+41,8.12134E+62
KK69,8,52,50.7,+,33,47,52,3.74,46,3,0,-13.2,25.9,7.55,6.73,7.66,7.66,418,0.4,NGC2683,0.5,1.56,5.77082E+19,1.06821E+37,8.0501E+59
UGC04704,8,59,0.3,+,39,12,36,18.17,90,57,0.4,-16.4,26.2,8.93,9.84,8.99,8.99,584,-2.3,NGC2964,-1.7,,2.80363E+20,1.37612E+40,9.23105E+61
LV J0859+3923,8,59,46.9,+,39,23,6,1.07,53,12,0,-12.7,23.8,7.34,7.25,7.1,7.1,554,-0.3,NGC2683,-0.2,-1.04,1.65101E+19,3.53718E+37,1.88511E+58
LSBC D564-08,9,2,54,+,20,4,31,1.88,51,26,0,-12,25.7,7.03,8.17,7.54,7.54,366,-0.2,NGC2903,-0.2,-1.66,2.90084E+19,2.94209E+38,1.02249E+59
ESO497-004,9,3,3.1,-,23,48,30,4.28,79,42,0.05,-16.3,23.2,8.85,8.95,8.23,8.23,519,-0.6,NGC2784,-0.3,-0.33,6.60404E+19,1.77279E+39,1.20647E+60
HIPASS J0905-36,9,6,0,-,36,3,36,2.65,47,42,0.01,-14.9,23.5,8.21,8.73,8.35,8.35,579,-1.4,NGC2997,-1,,4.08895E+19,1.06821E+39,2.86368E+59
UGC04787,9,7,34.9,+,33,16,36,14.08,76,58,0.24,-17.3,24.8,9.26,9.74,8.83,8.83,504,-1.7,NGC2968,-1.4,,2.17254E+20,1.09309E+40,4.29531E+61
KKH46,9,8,36.6,+,5,17,32,1.22,34,7,0,-12.3,24.5,7.16,6.86,7.44,7.44,409,-1.6,NGC2903,-1.3,,1.88246E+19,1.44098E+37,2.79425E+58
LSBC D634-03,9,8,53.5,+,14,34,55,1.34,32,37,0,-12.6,24.4,7.28,8.32,6.7,6.7,189,-0.8,NGC2903,-0.6,,2.06762E+19,4.15582E+38,3.70255E+58
DDO056,9,9,46.6,-,23,0,33,4.71,52,44,0.02,-15.6,24.1,8.5,9.02,7.96,7.96,438,-0.3,NGC2784,-0.1,-0.03,7.26753E+19,2.08284E+39,1.60786E+60
UGCA153,9,13,12.1,-,19,24,31,15.17,54,59,0.1,-16.8,25.4,9.07,9.79,9.06,9.06,489,-1.8,NGC2613,-1.4,,2.34073E+20,1.22647E+40,5.37209E+61
LV J0913+1937,9,13,39,+,19,37,8,1.37,79,3,0,-12.5,24.5,7.24,6.27,7.04,7.04,324,0.2,NGC2903,0.2,1.57,2.11391E+19,3.70388E+36,3.95684E+58
AGC198507,9,15,25.8,+,25,25,10,0.65,47,19,0,-11.7,23.6,6.95,7.42,7.28,7.28,411,-0.1,AGC198507A,0,-3.2,1.00295E+19,5.23187E+37,4.22597E+57
UGC04879,9,16,2.2,+,52,50,24,1.28,66,3,0,-12,24.9,6.99,6.05,5.99,5.99,33,-0.7,MESSIER031,-0.3,-2.39,1.97504E+19,2.23181E+36,3.22713E+58
HIPASS J0916-23b,9,16,58,-,23,16,47,2.11,90,15,0,-15.6,22.4,8.47,7.76,7.51,7.51,550,0.6,NGC2784,0.7,1.57,3.25573E+19,1.14461E+38,1.44555E+59
NGC2835,9,17,52.9,-,22,21,19,34.29,49,113,0.2,-20.1,23.9,10.34,10.71,9.49,9.49,600,-1.3,NGC2784,-1,,5.29095E+20,1.02013E+41,6.20424E+62
NGC2787,9,19,18.6,+,69,12,12,7.99,55,203,0.36,-18.5,22.4,10.19,10.58,8.43,8.43,842,0.2,Dw0920+6924,0.5,-0.43,1.23286E+20,7.56235E+40,7.84922E+60
LSBC D565-06,9,19,29.4,+,21,36,12,1.68,34,4,0,-12.7,24.7,7.34,6.59,6.76,6.76,386,0.5,NGC2903,0.5,1.57,2.59224E+19,7.7385E+36,7.29649E+58
UGC04932,9,19,34.1,+,51,6,33,10.82,73,50,0.13,-16.6,24.9,8.69,9.5,8.72,8.72,597,-1.3,NGC2768,-1.1,,1.66953E+20,6.29009E+39,1.94925E+61
DDO062,9,21,27.5,-,22,30,2,7.98,79,55,0.23,-15.9,24.9,8.71,9.45,9.15,9.15,560,-0.4,NGC2784,-0.2,-0.08,1.23131E+20,5.60605E+39,7.81979E+60
AGC198508,9,22,57,+,24,56,48,1.1,65,9,0,-12.3,24.2,7.18,6.99,6.92,6.92,424,-0.3,NGC2903,-0.2,-1.29,1.6973E+19,1.94382E+37,2.04816E+58
ESO565-003,9,23,9.9,-,20,10,3,2.35,55,12,0,-14.9,23.3,8.2,7.56,7.63,7.63,549,-0.4,NGC2784,-0.2,-0.2,3.62605E+19,7.22199E+37,1.99705E+59
UGC04998,9,25,12.1,+,68,22,59,4.41,60,45,0.03,-14.9,24.7,8.71,9.01,7.04,7.04,770,-0.4,NGC2787,-0.4,0.94,6.80463E+19,2.03543E+39,1.31978E+60
LV J0926+3343,9,26,9.4,+,33,43,4,2.45,79,20,0,-12.3,25.9,7.29,8.05,7.8,7.8,492,-0.5,NGC2683,-0.4,-1.31,3.78035E+19,2.23181E+38,2.263E+59
NGC2915,9,26,11.5,-,76,37,35,3.14,69,71,0.18,-16.3,22.5,8.74,9.27,8.64,8.64,191,-1.1,CIRCINUS,-0.8,-1.09,4.84502E+19,3.70388E+39,4.76404E+59
UGC05047,9,28,49.6,+,51,33,38,8.93,76,47,0.11,-15.6,25.4,8.71,9.35,8.12,8.12,552,-1.3,NGC2768,-0.9,,1.3779E+20,4.45304E+39,1.09582E+61
KDG056,9,30,12.9,+,19,59,30,1.84,41,4,0,-13,24.7,7.44,6.57,7.19,7.19,441,1.4,NGC2903,1.4,1.57,2.83912E+19,7.39021E+36,9.58605E+58
NGC2903-HI-1,9,30,39.9,+,21,43,25,0.68,47,3,0,-10.5,25,6.47,5.97,6.39,6.39,470,1.4,NGC2903,1.4,1.57,1.04924E+19,1.85634E+36,4.83853E+57
NGC2903,9,32,9.6,+,21,30,2,33.47,64,189,0.55,-21,23,10.84,11.14,9.47,9.47,443,,,,,5.16442E+20,2.74572E+41,5.7697E+62
