System,Period (days),"V
B-V",Spectral type,Mass (Msun ),Radius (Rsun),Surface gravity (cgs),log Teff (K),log (L/Lsun),"[M/H]
(dex)",References and notes
,,1.04,G8_III,2.57,20.4,2.23,3.684,2.31,,
HD 96609,8.192,8.61,B9,2.66,2.74,3.987,3.985,1.76,"0.02
± 0.06","Özdarcan (2022MNRAS.509.1912O)
Metallicity comes from membership of NGC 3532"
,,0.02,none,1.84,1.697,4.243,3.952,1.22,,
V4089 Sgr,4.627,6,A2_IV,2.584,3.964,3.654,3.926,,,"Graczyk et al. (2017ApJ...837....7G)
Veramundi & González (2015NewA...34..266V)"
,,0.09,A3_V,1.607,1.605,4.233,3.867,,,
OGLE-SMC-ECL-1859,75.544,17.69,G0_III,2.58,16.2,2.43,3.744,2.35,"-0.21
± 0.22","Graczyk et al. (2020ApJ...904...13G)
Member of the SMC"
,,0.92,G7_III,2.48,18.7,2.29,3.695,2.276,,
OGLE-SMC-ECL-2876,120.867,17.49,G0_III,2.56,16.5,2.41,3.745,2.371,"-0.43
± 0.08","Graczyk et al. (2020ApJ...904...13G)
Member of the SMC"
,,0.5,G4_III,2.51,17.3,2.36,3.712,2.279,,
AR Aur,4.135,6.17,B9_V,2.544,1.799,4.333,4.039,1.61,,"Hubrig et al. (2012A&A...547A..90H)
Nordström & Johansen (1994A&A...282..787N)"
,,0.04,B9_V,2.358,1.834,4.284,4.015,1.53,,
WX Cep,3.378,9.03,A2_V,2.539,3.994,3.64,3.911,1.8,,Popper (1987AJ.....93..672P)
,,0.11,A5_V,2.329,2.711,3.939,3.949,1.62,,
TZ Men,8.57,6.19,A0_V,2.487,2.016,4.225,4.017,1.63,,Andersen et al. (1987A&A...175...60A)
,,-0.06,A8_V,1.504,1.432,4.303,3.857,0.69,,
V1031 Ori,3.406,6.02,A3_V,2.473,4.321,3.56,3.895,1.8,,Andersen et al. (1990A&A...228..365A)
,,0.18,A6_V,2.286,2.977,3.85,3.924,1.6,,
OGLE-SMC-ECL-2761,150.364,17.3,F9_III,2.44,17.3,2.35,3.751,2.431,"-0.73
± 0.09","Graczyk et al. (2020ApJ...904...13G)
Member of the SMC"
,,0.82,G0_III,2.38,17.5,2.33,3.747,2.428,,
OGLE-LMC-ECL-09678,114.45,17.22,G4_III,2.4,13.77,2.54,3.719,2.107,"-0.38
± 0.16","Graczyk et al. (2018ApJ...860....1G)
member of the LMC"
,,1.2,G9_III,2.549,30.6,1.873,3.673,2.616,,
V396 Cas,5.505,9.56,A1_V,2.398,2.592,3.99,3.965,1.642,,Lacy et al. (2004AJ....128.3005L)
,,0.06,A3_V,1.901,1.779,4.216,3.932,1.183,,
? Aur,3.96,1.89,A1_Vm,2.376,2.762,3.932,3.971,1.721,,Southworth et al. (2007A&A...467.1215S)
,,0.04,A1_Vm,2.291,2.568,3.979,3.964,1.63,,
