name,ra,dec,core_radius (degrees),central_radius (degrees),cluster_radius (degrees),num_core_stars,num_central_stars,num_cluster_stars,distance (PC)
FSR 1723,15 55 07,-46 00.6,0.030,0.085,0.155,17,71,182,1513
Bochum 7,08 44 46,-45 58.8,0.015,0.085,0.190,2,10,39,6059
NGC 6250,16 57 58,-45 57.0,0.035,0.160,0.255,17,148,382,940
FSR 1573,11 44 04,-45 55.5,0.015,0.110,0.170,2,36,74,2020
ESO 245-09,01 53 43,-45 55.2,0.025,0.230,0.370,1,27,51,1380
DBSB 108,17 11 19,-45 54.0,0.015,0.045,0.060,3,10,21,1620
vdBergh-Hagen 197,16 46 30,-45 51.0,0.015,0.060,0.085,3,23,34,2069
Westerlund 1,16 47 04,-45 50.0,0.012,0.050,0.085,2,10,13,7686
FSR 1464,09 21 47,-45 45.6,0.015,0.053,0.115,6,24,89,2220
FSR 1574,11 44 42,-45 39.6,0.020,0.095,0.180,2,31,93,1389
DBSB 173,16 40 15,-45 39.6,0.010,0.038,0.060,4,23,47,4526
NGC 6178,16 35 47,-45 37.5,0.020,0.115,0.190,4,54,143,1011
FSR 1705,15 04 16,-45 33.0,0.018,0.040,0.070,6,14,32,1582
ASCC 85,16 47 49,-45 29.4,0.022,0.125,0.235,5,80,227,806
FSR 1434,08 45 29,-45 24.1,0.012,0.085,0.170,3,93,298,1367
Ruprecht 156,08 19 34,-45 21.0,0.010,0.060,0.100,3,20,52,2720
DBSB 174,16 48 11,-45 21.0,0.010,0.030,0.050,1,11,26,1710
ESO 265-01,11 00 56,-45 20.4,0.030,0.085,0.150,2,17,41,3162
DBSB 106,16 54 22,-45 17.9,0.015,0.040,0.062,6,21,50,3490
FSR 1757,18 17 02,-45 15.0,0.010,0.055,0.100,3,20,57,1397
ESO 252-14,05 15 58,-45 14.4,0.015,0.060,0.120,3,7,16,2180
Lynga 14,16 54 59,-45 14.4,0.010,0.055,0.095,5,47,106,1327
Moitinho 1,08 19 17,-45 12.5,0.010,0.045,0.085,1,14,23,1146
NGC 3446,10 52 17,-45 07.5,0.030,0.125,0.205,5,50,138,2001
Pismis 12,09 20 00,-45 06.6,0.010,0.060,0.115,2,43,103,2221
NGC 2659,08 42 34,-44 59.1,0.020,0.085,0.120,4,89,159,1713
MWSC 4178,14 27 38,-44 56.7,0.020,0.115,0.180,3,46,94,3515
NGC 6249,16 57 36,-44 48.0,0.025,0.120,0.190,9,125,285,1113
NGC 6388,17 36 17,-44 44.2,0.050,0.140,0.220,2,136,336,9889
NGC 6222,16 50 28,-44 43.8,0.025,0.060,0.100,20,89,226,3308
FSR 1415,08 40 23,-44 43.5,0.018,0.075,0.120,8,37,48,3473
NGC 6216,16 49 21,-44 43.2,0.012,0.070,0.140,5,86,296,3355
NGC 2220,06 20 53,-44 42.0,0.010,0.070,0.125,2,12,27,1393
NGC 6259,17 00 54,-44 41.4,0.020,0.100,0.170,6,97,254,1855
FSR 1377,07 18 18,-44 40.2,0.016,0.065,0.115,3,12,32,4640
ESO 261-07,09 24 36,-44 40.2,0.010,0.060,0.110,3,24,70,3360
vdBergh-Hagen 34,08 31 12,-44 30.3,0.020,0.077,0.150,6,41,150,950
Pismis 4,08 34 41,-44 29.7,0.010,0.095,0.150,2,37,64,575
Ruprecht 154,08 01 44,-44 25.4,0.010,0.050,0.085,1,16,37,3160
vdBergh-Hagen 54,08 49 41,-44 22.0,0.010,0.052,0.115,3,45,138,1239
FSR 1543,11 14 51,-44 19.8,0.010,0.105,0.165,1,40,76,2662
NGC 6496,17 59 04,-44 16.0,0.030,0.077,0.125,3,37,88,11307
FSR 1430,08 51 52,-44 15.2,0.012,0.055,0.110,4,35,84,6737
vdBergh-Hagen 200,16 49 56,-44 12.3,0.010,0.070,0.115,3,37,116,1633
ESO 281-24,18 39 59,-44 11.4,0.011,0.065,0.110,2,22,44,3830
FSR 1432,08 52 56,-44 11.1,0.015,0.055,0.100,3,18,67,1904
FSR 1412,08 37 17,-44 07.9,0.015,0.080,0.115,4,46,76,2644
Ruprecht 81,09 45 12,-44 06.0,0.015,0.055,0.115,2,18,57,3009
